
2025/02/12 (15:06:42) | ===> btop++ v.1.4.0
2025/02/12 (15:06:42) | WARNING: Failed to join _runner thread on exit!

2025/02/12 (19:19:25) | ===> btop++ v.1.4.0
2025/02/12 (19:19:25) | WARNING: Failed to join _runner thread on exit!

2025/02/13 (02:30:52) | ===> btop++ v.1.4.0
2025/02/13 (02:30:52) | WARNING: Failed to join _runner thread on exit!

2025/02/13 (12:54:22) | ===> btop++ v.1.4.0
2025/02/13 (12:54:22) | WARNING: Failed to join _runner thread on exit!

2025/02/15 (15:06:01) | ===> btop++ v.1.4.0
2025/02/15 (15:06:01) | WARNING: Failed to join _runner thread on exit!

2025/02/15 (17:00:52) | ===> btop++ v.1.4.0
2025/02/15 (17:00:52) | WARNING: Failed to join _runner thread on exit!
